A,PTP_RT,F,H0010-0019,AC9E,EL	: 	0.0 
A,PTP_RT,F,H0010-0019,AC9E,ES	0.23 	0.2 
A,PTP_RT,F,H0010-0019,AC9E,FI	0.08 	0.1 
A,PTP_RT,F,H0010-0019,AC9E,FR	0.09 	0.0 
A,PTP_RT,F,H0010-0019,AC9E,HU	: 	0.1 
A,PTP_RT,F,H0010-0019,AC9E,IT	0.08 	0.1 
A,PTP_RT,F,H0010-0019,AC9E,LT	0.03 	: 
A,PTP_RT,F,H0010-0019,AC9E,LU	: 	0.2 
A,PTP_RT,F,H0010-0019,AC9E,LV	0.18 	: 
A,PTP_RT,F,H0010-0019,AC9E,NL	: 	0.1 
A,PTP_RT,F,H0010-0019,AC9E,NO	0.09 	0.0 
A,PTP_RT,F,H0010-0019,AC9E,PL	0.04 	0.0 
A,PTP_RT,F,H0010-0019,AC9E,RO	: 	0.0 
A,PTP_RT,F,H0010-0019,AC9E,RS	: 	0.1 
A,PTP_RT,F,H0010-0019,AC9E,SI	0.08 	: 
A,PTP_RT,F,H0010-0019,AC9E,TR	: 	0.2 
A,PTP_RT,F,H0010-0019,AC9E,UK	0.14 	0.0 
A,PTP_RT,F,H0010-0019,NSP,BE	0.76 	0.2 
A,PTP_RT,F,H0010-0019,NSP,BG	0.05 	: 
A,PTP_RT,F,H0010-0019,NSP,DE	0.17 	0.1 
A,PTP_RT,F,H0010-0019,NSP,EE	0.26 	0.3 
A,PTP_RT,F,H0010-0019,NSP,EL	: 	0.8 
A,PTP_RT,F,H0010-0019,NSP,ES	0.41 	0.6 
A,PTP_RT,F,H0010-0019,NSP,FI	0.29 	0.3 
A,PTP_RT,F,H0010-0019,NSP,FR	0.72 	0.9 
A,PTP_RT,F,H0010-0019,NSP,HU	: 	0.1 
A,PTP_RT,F,H0010-0019,NSP,IT	0.44 	0.2 
A,PTP_RT,F,H0010-0019,NSP,LT	0.17 	: 
A,PTP_RT,F,H0010-0019,NSP,LU	: 	0.1 
A,PTP_RT,F,H0010-0019,NSP,LV	0.06 	: 
A,PTP_RT,F,H0010-0019,NSP,NL	: 	1.0 
A,PTP_RT,F,H0010-0019,NSP,NO	0.07 	0.2 
A,PTP_RT,F,H0010-0019,NSP,PL	0.29 	0.1 
A,PTP_RT,F,H0010-0019,NSP,RO	: 	0.1 
A,PTP_RT,F,H0010-0019,NSP,RS	: 	0.0 
A,PTP_RT,F,H0010-0019,NSP,SI	0.11 	: 
A,PTP_RT,F,H0010-0019,NSP,TR	: 	0.3 
A,PTP_RT,F,H0010-0019,NSP,UK	0.25 	3.1 
A,PTP_RT,F,H0010-0019,TOTAL,BE	100.00 	100 
A,PTP_RT,F,H0010-0019,TOTAL,BG	100.00 	: 
A,PTP_RT,F,H0010-0019,TOTAL,DE	100.00 	100 
A,PTP_RT,F,H0010-0019,TOTAL,EE	100.00 	100 
A,PTP_RT,F,H0010-0019,TOTAL,EL	: 	100 
A,PTP_RT,F,H0010-0019,TOTAL,ES	100.00 	100 
A,PTP_RT,F,H0010-0019,TOTAL,FI	100.00 	100 
A,PTP_RT,F,H0010-0019,TOTAL,FR	100.00 	100 
A,PTP_RT,F,H0010-0019,TOTAL,HU	: 	100 
A,PTP_RT,F,H0010-0019,TOTAL,IT	100.00 	100 
A,PTP_RT,F,H0010-0019,TOTAL,LT	100.00 	: 
A,PTP_RT,F,H0010-0019,TOTAL,LU	: 	100 
A,PTP_RT,F,H0010-0019,TOTAL,LV	100.00 	: 
A,PTP_RT,F,H0010-0019,TOTAL,NL	: 	100 
A,PTP_RT,F,H0010-0019,TOTAL,NO	100.00 	100 
A,PTP_RT,F,H0010-0019,TOTAL,PL	100.00 	100 
A,PTP_RT,F,H0010-0019,TOTAL,RO	: 	100 
A,PTP_RT,F,H0010-0019,TOTAL,RS	: 	100 
A,PTP_RT,F,H0010-0019,TOTAL,SI	100.00 	: 
A,PTP_RT,F,H0010-0019,TOTAL,TR	: 	100 
A,PTP_RT,F,H0010-0019,TOTAL,UK	100.00 	100 
A,PTP_RT,F,H0020-0029,AC02,BE	0.69 	0.7 
A,PTP_RT,F,H0020-0029,AC02,BG	0.14 	: 
A,PTP_RT,F,H0020-0029,AC02,DE	0.32 	0.2 
A,PTP_RT,F,H0020-0029,AC02,EE	0.28 	0.5 
A,PTP_RT,F,H0020-0029,AC02,EL	: 	1.0 
A,PTP_RT,F,H0020-0029,AC02,ES	0.99 	1.4 
A,PTP_RT,F,H0020-0029,AC02,FI	0.21 	0.3 
A,PTP_RT,F,H0020-0029,AC02,FR	1.12 	0.8 
A,PTP_RT,F,H0020-0029,AC02,HU	: 	0.2 
A,PTP_RT,F,H0020-0029,AC02,IT	0.40 	0.3 
A,PTP_RT,F,H0020-0029,AC02,LT	0.07 	: 
A,PTP_RT,F,H0020-0029,AC02,LU	: 	0.6 
A,PTP_RT,F,H0020-0029,AC02,LV	0.21 	: 
A,PTP_RT,F,H0020-0029,AC02,NL	: 	1.0 
A,PTP_RT,F,H0020-0029,AC02,NO	0.57 	0.4 
A,PTP_RT,F,H0020-0029,AC02,PL	0.14 	0.1 
