freq,unit,sex,wstatus,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,F,EMP,AC331,PL	28.2 	21.4 
A,PTP_RT,F,EMP,AC331,RO	: 	23.7 
A,PTP_RT,F,EMP,AC331,RS	: 	27.9 
A,PTP_RT,F,EMP,AC331,SI	27.6 	: 
A,PTP_RT,F,EMP,AC331,UK	31.6 	27.3 
A,PTP_RT,F,EMP,AC332,AT	: 	25.3 
A,PTP_RT,F,EMP,AC332,BE	28.8 	22.2 
A,PTP_RT,F,EMP,AC332,BG	15.8 	: 
A,PTP_RT,F,EMP,AC332,DE	: 	11.9 
A,PTP_RT,F,EMP,AC332,EE	13.2 	7.9 
A,PTP_RT,F,EMP,AC332,EL	: 	21.5 
A,PTP_RT,F,EMP,AC332,ES	15.9 	13.4 
A,PTP_RT,F,EMP,AC332,FI	12.5 	7.3 
A,PTP_RT,F,EMP,AC332,FR	: 	16.9 
A,PTP_RT,F,EMP,AC332,HU	: 	14.0 
A,PTP_RT,F,EMP,AC332,IT	21.6 	18.1 
A,PTP_RT,F,EMP,AC332,LT	8.2 	: 
A,PTP_RT,F,EMP,AC332,LV	8.4 	: 
A,PTP_RT,F,EMP,AC332,NL	: 	7.8 
A,PTP_RT,F,EMP,AC332,NO	13.6 	9.3 
A,PTP_RT,F,EMP,AC332,PL	18.0 	14.2 
A,PTP_RT,F,EMP,AC332,RO	: 	21.6 
A,PTP_RT,F,EMP,AC332,RS	: 	24.1 
A,PTP_RT,F,EMP,AC332,SI	25.7 	: 
A,PTP_RT,F,EMP,AC332,UK	20.6 	13.3 
A,PTP_RT,F,EMP,AC33A,AT	: 	4.6 
A,PTP_RT,F,EMP,AC33A,BE	5.2 	2.2 
A,PTP_RT,F,EMP,AC33A,BG	6.2 	: 
A,PTP_RT,F,EMP,AC33A,DE	: 	3.4 
A,PTP_RT,F,EMP,AC33A,EE	10.9 	6.9 
A,PTP_RT,F,EMP,AC33A,EL	: 	1.1 
A,PTP_RT,F,EMP,AC33A,ES	4.5 	2.5 
A,PTP_RT,F,EMP,AC33A,FI	9.0 	8.1 
A,PTP_RT,F,EMP,AC33A,FR	: 	2.2 
A,PTP_RT,F,EMP,AC33A,HU	: 	1.6 
A,PTP_RT,F,EMP,AC33A,IT	3.7 	1.6 
A,PTP_RT,F,EMP,AC33A,LT	7.8 	: 
A,PTP_RT,F,EMP,AC33A,LV	7.6 	: 
A,PTP_RT,F,EMP,AC33A,NL	: 	1.7 
A,PTP_RT,F,EMP,AC33A,NO	9.9 	6.9 
A,PTP_RT,F,EMP,AC33A,PL	4.6 	1.8 
A,PTP_RT,F,EMP,AC33A,RO	: 	5.3 
A,PTP_RT,F,EMP,AC33A,RS	: 	2.4 
A,PTP_RT,F,EMP,AC33A,SI	4.2 	: 
A,PTP_RT,F,EMP,AC33A,UK	3.4 	2.0 
A,PTP_RT,F,EMP,AC342,AT	: 	1.2 
A,PTP_RT,F,EMP,AC342,BE	0.0 	2.6 
A,PTP_RT,F,EMP,AC342,BG	6.9 	: 
A,PTP_RT,F,EMP,AC342,DE	: 	2.0 
A,PTP_RT,F,EMP,AC342,EE	2.7 	1.6 
A,PTP_RT,F,EMP,AC342,EL	: 	0.8 
A,PTP_RT,F,EMP,AC342,ES	1.1 	1.1 
A,PTP_RT,F,EMP,AC342,FI	: 	100 
A,PTP_RT,F,EMP,AC342,FR	: 	0.9 
A,PTP_RT,F,EMP,AC342,HU	: 	4.2 
A,PTP_RT,F,EMP,AC342,IT	0.3 	0.4 
A,PTP_RT,F,EMP,AC342,LT	3.1 	: 
A,PTP_RT,F,EMP,AC342,LV	3.4 	: 
A,PTP_RT,F,EMP,AC342,NL	: 	3.1 
A,PTP_RT,F,EMP,AC342,NO	: 	100 
A,PTP_RT,F,EMP,AC342,PL	0.7 	0.9 
A,PTP_RT,F,EMP,AC342,RO	: 	6.9 
A,PTP_RT,F,EMP,AC342,RS	: 	2.1 
A,PTP_RT,F,EMP,AC342,SI	8.7 	: 
A,PTP_RT,F,EMP,AC342,UK	1.4 	2.5 
A,PTP_RT,F,EMP,AC343,AT	: 	12.1 
A,PTP_RT,F,EMP,AC343,BE	11.4 	11.3 
A,PTP_RT,F,EMP,AC343,BG	2.5 	: 
A,PTP_RT,F,EMP,AC343,DE	: 	12.5 
A,PTP_RT,F,EMP,AC343,EE	8.9 	10.1 
A,PTP_RT,F,EMP,AC343,EL	: 	3.0 
A,PTP_RT,F,EMP,AC343,ES	2.0 	1.6 
A,PTP_RT,F,EMP,AC343,FI	12.9 	14.0 
A,PTP_RT,F,EMP,AC343,FR	: 	6.4 
A,PTP_RT,F,EMP,AC343,HU	: 	10.2 
A,PTP_RT,F,EMP,AC343,IT	4.4 	3.9 
A,PTP_RT,F,EMP,AC343,LT	6.1 	: 
A,PTP_RT,F,EMP,AC343,LV	5.8 	: 
A,PTP_RT,F,EMP,AC343,NL	: 	8.9 
A,PTP_RT,F,EMP,AC343,NO	5.2 	7.7 
A,PTP_RT,F,EMP,AC343,PL	6.9 	4.7 
A,PTP_RT,F,EMP,AC343,RO	: 	2.0 
A,PTP_RT,F,EMP,AC343,RS	: 	2.5 
A,PTP_RT,F,EMP,AC343,SI	5.8 	: 
A,PTP_RT,F,EMP,AC343,UK	16.0 	13.3 
A,PTP_RT,F,EMP,AC344,AT	: 	6.9 
A,PTP_RT,F,EMP,AC344,BE	7.1 	9.1 
A,PTP_RT,F,EMP,AC344,BG	2.4 	: 
A,PTP_RT,F,EMP,AC344,DE	: 	7.8 
A,PTP_RT,F,EMP,AC344,EE	9.4 	7.6 
A,PTP_RT,F,EMP,AC344,EL	: 	4.0 
A,PTP_RT,F,EMP,AC344,ES	3.9 	5.7 
A,PTP_RT,F,EMP,AC344,FI	12.7 	13.4 
A,PTP_RT,F,EMP,AC344,FR	: 	5.8 
A,PTP_RT,F,EMP,AC344,HU	: 	3.8 
A,PTP_RT,F,EMP,AC344,IT	3.2 	3.0 
A,PTP_RT,F,EMP,AC344,LT	4.0 	: 
A,PTP_RT,F,EMP,AC344,LV	4.7 	: 
A,PTP_RT,F,EMP,AC344,NL	: 	13.1 
A,PTP_RT,F,EMP,AC344,NO	5.5 	11.3 
A,PTP_RT,F,EMP,AC344,PL	9.5 	9.7 
A,PTP_RT,F,EMP,AC344,RO	: 	0.6 
A,PTP_RT,F,EMP,AC344,RS	: 	1.1 
A,PTP_RT,F,EMP,AC344,SI	4.4 	: 
A,PTP_RT,F,EMP,AC344,UK	9.1 	10.8 
A,PTP_RT,F,EMP,AC34A,AT	: 	17.6 
A,PTP_RT,F,EMP,AC34A,BE	14.0 	5.0 
A,PTP_RT,F,EMP,AC34A,BG	7.5 	: 
A,PTP_RT,F,EMP,AC34A,DE	: 	12.7 
