freq,unit,acl00,sex,geo\TIME_PERIOD	2000 	2010 
A,PTP_TIME,AC_PNP_MAIN,T,FI	6:32 	6:08 
A,PTP_TIME,AC_PNP_MAIN,T,FR	6:51 	6:23 
A,PTP_TIME,AC_PNP_MAIN,T,HU	: 	6:43 
A,PTP_TIME,AC_PNP_MAIN,T,IT	7:03 	7:06 
A,PTP_TIME,AC_PNP_MAIN,T,LT	7:48 	: 
A,PTP_TIME,AC_PNP_MAIN,T,LU	: 	6:33 
A,PTP_TIME,AC_PNP_MAIN,T,LV	7:30 	: 
A,PTP_TIME,AC_PNP_MAIN,T,NL	: 	5:57 
A,PTP_TIME,AC_PNP_MAIN,T,NO	6:35 	6:33 
A,PTP_TIME,AC_PNP_MAIN,T,PL	6:58 	7:06 
A,PTP_TIME,AC_PNP_MAIN,T,RO	: 	7:21 
A,PTP_TIME,AC_PNP_MAIN,T,RS	: 	6:50 
A,PTP_TIME,AC_PNP_MAIN,T,SI	7:22 	: 
A,PTP_TIME,AC_PNP_MAIN,T,TR	: 	6:40 
A,PTP_TIME,AC_PNP_MAIN,T,UK	6:44 	6:15 
A,TIME_SP,AC_NP_SEC,F,AT	: 	0:26 
A,TIME_SP,AC_NP_SEC,F,BE	0:15 	0:22 
A,TIME_SP,AC_NP_SEC,F,BG	0:24 	: 
A,TIME_SP,AC_NP_SEC,F,DE	0:31 	0:34 
A,TIME_SP,AC_NP_SEC,F,EE	0:36 	0:29 
A,TIME_SP,AC_NP_SEC,F,EL	: 	0:16 
A,TIME_SP,AC_NP_SEC,F,ES	: 	0:13 
A,TIME_SP,AC_NP_SEC,F,FI	0:28 	0:32 
A,TIME_SP,AC_NP_SEC,F,FR	0:08 	0:16 
A,TIME_SP,AC_NP_SEC,F,HU	: 	0:28 
A,TIME_SP,AC_NP_SEC,F,IT	0:17 	0:16 
A,TIME_SP,AC_NP_SEC,F,LT	0:18 	: 
A,TIME_SP,AC_NP_SEC,F,LU	: 	0:10 
A,TIME_SP,AC_NP_SEC,F,LV	0:19 	: 
A,TIME_SP,AC_NP_SEC,F,NL	: 	0:26 
A,TIME_SP,AC_NP_SEC,F,NO	0:21 	0:16 
A,TIME_SP,AC_NP_SEC,F,PL	0:13 	0:18 
A,TIME_SP,AC_NP_SEC,F,RO	: 	0:08 
A,TIME_SP,AC_NP_SEC,F,RS	: 	0:22 
A,TIME_SP,AC_NP_SEC,F,SI	0:19 	: 
A,TIME_SP,AC_NP_SEC,F,TR	: 	0:00 
A,TIME_SP,AC_NP_SEC,F,UK	0:38 	0:33 
A,TIME_SP,AC_NP_SEC,M,AT	: 	0:23 
A,TIME_SP,AC_NP_SEC,M,BE	0:08 	0:21 
A,TIME_SP,AC_NP_SEC,M,BG	0:05 	: 
A,TIME_SP,AC_NP_SEC,M,DE	0:12 	0:27 
A,TIME_SP,AC_NP_SEC,M,EE	0:10 	0:19 
A,TIME_SP,AC_NP_SEC,M,EL	: 	0:22 
A,TIME_SP,AC_NP_SEC,M,ES	: 	0:16 
A,TIME_SP,AC_NP_SEC,M,FI	0:08 	0:24 
A,TIME_SP,AC_NP_SEC,M,FR	0:02 	0:11 
A,TIME_SP,AC_NP_SEC,M,HU	: 	0:29 
A,TIME_SP,AC_NP_SEC,M,IT	0:05 	0:18 
A,TIME_SP,AC_NP_SEC,M,LT	0:03 	: 
A,TIME_SP,AC_NP_SEC,M,LU	: 	0:09 
A,TIME_SP,AC_NP_SEC,M,LV	0:05 	: 
A,TIME_SP,AC_NP_SEC,M,NL	: 	0:24 
A,TIME_SP,AC_NP_SEC,M,NO	0:06 	0:12 
A,TIME_SP,AC_NP_SEC,M,PL	0:04 	0:09 
A,TIME_SP,AC_NP_SEC,M,RO	: 	0:07 
A,TIME_SP,AC_NP_SEC,M,RS	: 	0:25 
A,TIME_SP,AC_NP_SEC,M,SI	0:06 	: 
A,TIME_SP,AC_NP_SEC,M,TR	: 	0:00 
A,TIME_SP,AC_NP_SEC,M,UK	0:14 	0:28 
A,TIME_SP,AC_NP_SEC,T,AT	: 	0:25 
A,TIME_SP,AC_NP_SEC,T,BE	0:12 	0:22 
A,TIME_SP,AC_NP_SEC,T,BG	0:15 	: 
A,TIME_SP,AC_NP_SEC,T,DE	0:21 	0:31 
A,TIME_SP,AC_NP_SEC,T,EE	0:24 	0:24 
A,TIME_SP,AC_NP_SEC,T,EL	: 	0:19 
A,TIME_SP,AC_NP_SEC,T,ES	: 	0:15 
A,TIME_SP,AC_NP_SEC,T,FI	0:18 	0:28 
A,TIME_SP,AC_NP_SEC,T,FR	0:05 	0:13 
A,TIME_SP,AC_NP_SEC,T,HU	: 	0:29 
A,TIME_SP,AC_NP_SEC,T,IT	0:11 	0:17 
A,TIME_SP,AC_NP_SEC,T,LT	0:11 	: 
A,TIME_SP,AC_NP_SEC,T,LU	: 	0:10 
A,TIME_SP,AC_NP_SEC,T,LV	0:13 	: 
A,TIME_SP,AC_NP_SEC,T,NL	: 	0:25 
A,TIME_SP,AC_NP_SEC,T,NO	0:13 	0:14 
A,TIME_SP,AC_NP_SEC,T,PL	0:09 	0:13 
A,TIME_SP,AC_NP_SEC,T,RO	: 	0:07 
A,TIME_SP,AC_NP_SEC,T,RS	: 	0:24 
A,TIME_SP,AC_NP_SEC,T,SI	0:13 	: 
A,TIME_SP,AC_NP_SEC,T,TR	: 	0:00 
A,TIME_SP,AC_NP_SEC,T,UK	0:26 	0:31 
A,TIME_SP,AC_PNP_MAIN,F,AT	: 	7:17 
A,TIME_SP,AC_PNP_MAIN,F,BE	5:59 	5:54 
A,TIME_SP,AC_PNP_MAIN,F,BG	7:41 	: 
A,TIME_SP,AC_PNP_MAIN,F,DE	6:19 	6:04 
A,TIME_SP,AC_PNP_MAIN,F,EE	8:03 	7:01 
A,TIME_SP,AC_PNP_MAIN,F,EL	: 	6:21 
A,TIME_SP,AC_PNP_MAIN,F,ES	7:11 	7:03 
A,TIME_SP,AC_PNP_MAIN,F,FI	6:35 	6:17 
A,TIME_SP,AC_PNP_MAIN,F,FR	6:56 	6:18 
A,TIME_SP,AC_PNP_MAIN,F,HU	: 	7:01 
A,TIME_SP,AC_PNP_MAIN,F,IT	7:23 	7:21 
A,TIME_SP,AC_PNP_MAIN,F,LT	8:08 	: 
A,TIME_SP,AC_PNP_MAIN,F,LU	: 	6:32 
A,TIME_SP,AC_PNP_MAIN,F,LV	7:31 	: 
A,TIME_SP,AC_PNP_MAIN,F,NL	: 	5:37 
A,TIME_SP,AC_PNP_MAIN,F,NO	6:30 	6:22 
A,TIME_SP,AC_PNP_MAIN,F,PL	7:06 	7:06 
A,TIME_SP,AC_PNP_MAIN,F,RO	: 	7:42 
A,TIME_SP,AC_PNP_MAIN,F,RS	: 	7:09 
A,TIME_SP,AC_PNP_MAIN,F,SI	7:39 	: 
A,TIME_SP,AC_PNP_MAIN,F,TR	: 	6:30 
A,TIME_SP,AC_PNP_MAIN,F,UK	6:42 	6:21 
A,TIME_SP,AC_PNP_MAIN,M,AT	: 	7:01 
A,TIME_SP,AC_PNP_MAIN,M,BE	5:35 	5:28 
A,TIME_SP,AC_PNP_MAIN,M,BG	6:16 	: 
A,TIME_SP,AC_PNP_MAIN,M,DE	6:02 	5:52 
A,TIME_SP,AC_PNP_MAIN,M,EE	7:10 	6:06 
A,TIME_SP,AC_PNP_MAIN,M,EL	: 	4:54 
A,TIME_SP,AC_PNP_MAIN,M,ES	6:01 	5:51 
A,TIME_SP,AC_PNP_MAIN,M,FI	6:14 	5:45 
A,TIME_SP,AC_PNP_MAIN,M,FR	6:19 	5:56 
A,TIME_SP,AC_PNP_MAIN,M,HU	: 	5:57 
A,TIME_SP,AC_PNP_MAIN,M,IT	5:56 	6:03 
A,TIME_SP,AC_PNP_MAIN,M,LT	7:07 	: 
A,TIME_SP,AC_PNP_MAIN,M,LU	: 	5:58 
A,TIME_SP,AC_PNP_MAIN,M,LV	6:58 	: 
A,TIME_SP,AC_PNP_MAIN,M,NL	: 	5:55 
A,TIME_SP,AC_PNP_MAIN,M,NO	6:31 	6:33 
A,TIME_SP,AC_PNP_MAIN,M,PL	6:31 	6:44 
A,TIME_SP,AC_PNP_MAIN,M,RO	: 	6:25 
A,TIME_SP,AC_PNP_MAIN,M,RS	: 	5:58 
A,TIME_SP,AC_PNP_MAIN,M,SI	6:37 	: 
A,TIME_SP,AC_PNP_MAIN,M,TR	: 	5:51 
A,TIME_SP,AC_PNP_MAIN,M,UK	6:30 	5:50 
A,TIME_SP,AC_PNP_MAIN,T,AT	: 	7:09 
A,TIME_SP,AC_PNP_MAIN,T,BE	5:47 	5:41 
A,TIME_SP,AC_PNP_MAIN,T,BG	7:01 	: 
A,TIME_SP,AC_PNP_MAIN,T,DE	6:11 	5:58 
A,TIME_SP,AC_PNP_MAIN,T,EE	7:39 	6:36 
A,TIME_SP,AC_PNP_MAIN,T,EL	: 	5:40 
A,TIME_SP,AC_PNP_MAIN,T,ES	6:36 	6:27 
A,TIME_SP,AC_PNP_MAIN,T,FI	6:25 	6:01 
A,TIME_SP,AC_PNP_MAIN,T,FR	6:38 	6:07 
A,TIME_SP,AC_PNP_MAIN,T,HU	: 	6:30 
A,TIME_SP,AC_PNP_MAIN,T,IT	6:40 	6:43 
A,TIME_SP,AC_PNP_MAIN,T,LT	7:40 	: 
A,TIME_SP,AC_PNP_MAIN,T,LU	: 	6:14 
A,TIME_SP,AC_PNP_MAIN,T,LV	7:16 	: 
A,TIME_SP,AC_PNP_MAIN,T,NL	: 	5:46 
A,TIME_SP,AC_PNP_MAIN,T,NO	6:30 	6:27 
A,TIME_SP,AC_PNP_MAIN,T,PL	6:49 	6:55 
A,TIME_SP,AC_PNP_MAIN,T,RO	: 	7:04 
A,TIME_SP,AC_PNP_MAIN,T,RS	: 	6:35 
A,TIME_SP,AC_PNP_MAIN,T,SI	7:08 	: 
A,TIME_SP,AC_PNP_MAIN,T,TR	: 	6:11 
A,TIME_SP,AC_PNP_MAIN,T,UK	6:36 	6:05 
