freq,unit,sex,acl00,geo\TIME_PERIOD	2000 	2010 
A,TIME_SP,F,AC_NP_MAIN,ES	5:05 	4:42 
A,TIME_SP,F,AC_NP_MAIN,FI	4:01 	3:49 
A,TIME_SP,F,AC_NP_MAIN,FR	4:39 	4:00 
A,TIME_SP,F,AC_NP_MAIN,HU	: 	4:49 
A,TIME_SP,F,AC_NP_MAIN,IT	5:31 	5:15 
A,TIME_SP,F,AC_NP_MAIN,LT	4:37 	: 
A,TIME_SP,F,AC_NP_MAIN,LU	: 	3:47 
A,TIME_SP,F,AC_NP_MAIN,LV	4:01 	: 
A,TIME_SP,F,AC_NP_MAIN,NL	: 	3:34 
A,TIME_SP,F,AC_NP_MAIN,NO	3:52 	3:42 
A,TIME_SP,F,AC_NP_MAIN,PL	4:51 	4:44 
A,TIME_SP,F,AC_NP_MAIN,RO	: 	5:02 
A,TIME_SP,F,AC_NP_MAIN,RS	: 	4:57 
A,TIME_SP,F,AC_NP_MAIN,SI	4:57 	: 
A,TIME_SP,F,AC_NP_MAIN,TR	: 	5:06 
A,TIME_SP,F,AC_NP_MAIN,UK	4:18 	3:53 
A,TIME_SP,F,AC_NP_SEC,AT	: 	0:26 
A,TIME_SP,F,AC_NP_SEC,BE	0:15 	0:22 
A,TIME_SP,F,AC_NP_SEC,BG	0:24 	: 
A,TIME_SP,F,AC_NP_SEC,DE	0:31 	0:34 
A,TIME_SP,F,AC_NP_SEC,EE	0:36 	0:29 
A,TIME_SP,F,AC_NP_SEC,EL	: 	0:16 
A,TIME_SP,F,AC_NP_SEC,ES	: 	0:13 
A,TIME_SP,F,AC_NP_SEC,FI	0:28 	0:32 
A,TIME_SP,F,AC_NP_SEC,FR	0:08 	0:16 
A,TIME_SP,F,AC_NP_SEC,HU	: 	0:28 
A,TIME_SP,F,AC_NP_SEC,IT	0:17 	0:16 
A,TIME_SP,F,AC_NP_SEC,LT	0:18 	: 
A,TIME_SP,F,AC_NP_SEC,LU	: 	0:10 
A,TIME_SP,F,AC_NP_SEC,LV	0:19 	: 
A,TIME_SP,F,AC_NP_SEC,NL	: 	0:26 
A,TIME_SP,F,AC_NP_SEC,NO	0:21 	0:16 
A,TIME_SP,F,AC_NP_SEC,PL	0:13 	0:18 
A,TIME_SP,F,AC_NP_SEC,RO	: 	0:08 
A,TIME_SP,F,AC_NP_SEC,RS	: 	0:22 
A,TIME_SP,F,AC_NP_SEC,SI	0:19 	: 
A,TIME_SP,F,AC_NP_SEC,TR	: 	0:00 
A,TIME_SP,F,AC_NP_SEC,UK	0:38 	0:33 
A,TIME_SP,M,AC_NP_MAIN,AT	: 	2:22 
A,TIME_SP,M,AC_NP_MAIN,BE	2:28 	2:26 
A,TIME_SP,M,AC_NP_MAIN,BG	2:44 	: 
A,TIME_SP,M,AC_NP_MAIN,DE	2:35 	2:26 
A,TIME_SP,M,AC_NP_MAIN,EE	2:43 	2:32 
A,TIME_SP,M,AC_NP_MAIN,EL	: 	1:35 
A,TIME_SP,M,AC_NP_MAIN,ES	1:41 	2:07 
A,TIME_SP,M,AC_NP_MAIN,FI	2:26 	2:32 
A,TIME_SP,M,AC_NP_MAIN,FR	2:31 	2:23 
A,TIME_SP,M,AC_NP_MAIN,HU	: 	2:37 
A,TIME_SP,M,AC_NP_MAIN,IT	1:41 	1:43 
A,TIME_SP,M,AC_NP_MAIN,LT	2:21 	: 
A,TIME_SP,M,AC_NP_MAIN,LU	: 	1:51 
A,TIME_SP,M,AC_NP_MAIN,LV	1:58 	: 
A,TIME_SP,M,AC_NP_MAIN,NL	: 	2:21 
A,TIME_SP,M,AC_NP_MAIN,NO	2:26 	2:47 
A,TIME_SP,M,AC_NP_MAIN,PL	2:30 	2:30 
A,TIME_SP,M,AC_NP_MAIN,RO	: 	2:13 
A,TIME_SP,M,AC_NP_MAIN,RS	: 	2:10 
A,TIME_SP,M,AC_NP_MAIN,SI	2:44 	: 
A,TIME_SP,M,AC_NP_MAIN,TR	: 	0:59 
A,TIME_SP,M,AC_NP_MAIN,UK	2:20 	2:09 
A,TIME_SP,M,AC_NP_SEC,AT	: 	0:23 
A,TIME_SP,M,AC_NP_SEC,BE	0:08 	0:21 
A,TIME_SP,M,AC_NP_SEC,BG	0:05 	: 
A,TIME_SP,M,AC_NP_SEC,DE	0:12 	0:27 
A,TIME_SP,M,AC_NP_SEC,EE	0:10 	0:19 
A,TIME_SP,M,AC_NP_SEC,EL	: 	0:22 
A,TIME_SP,M,AC_NP_SEC,ES	: 	0:16 
A,TIME_SP,M,AC_NP_SEC,FI	0:08 	0:24 
A,TIME_SP,M,AC_NP_SEC,FR	0:02 	0:11 
A,TIME_SP,M,AC_NP_SEC,HU	: 	0:29 
A,TIME_SP,M,AC_NP_SEC,IT	0:05 	0:18 
A,TIME_SP,M,AC_NP_SEC,LT	0:03 	: 
A,TIME_SP,M,AC_NP_SEC,LU	: 	0:09 
A,TIME_SP,M,AC_NP_SEC,LV	0:05 	: 
A,TIME_SP,M,AC_NP_SEC,NL	: 	0:24 
A,TIME_SP,M,AC_NP_SEC,NO	0:06 	0:12 
A,TIME_SP,M,AC_NP_SEC,PL	0:04 	0:09 
A,TIME_SP,M,AC_NP_SEC,RO	: 	0:07 
A,TIME_SP,M,AC_NP_SEC,RS	: 	0:25 
A,TIME_SP,M,AC_NP_SEC,SI	0:06 	: 
A,TIME_SP,M,AC_NP_SEC,TR	: 	0:00 
A,TIME_SP,M,AC_NP_SEC,UK	0:14 	0:28 
A,TIME_SP,T,AC_NP_MAIN,AT	: 	3:26 
A,TIME_SP,T,AC_NP_MAIN,BE	3:19 	3:13 
A,TIME_SP,T,AC_NP_MAIN,BG	4:00 	: 
A,TIME_SP,T,AC_NP_MAIN,DE	3:30 	3:09 
A,TIME_SP,T,AC_NP_MAIN,EE	3:57 	3:21 
A,TIME_SP,T,AC_NP_MAIN,EL	: 	3:05 
A,TIME_SP,T,AC_NP_MAIN,ES	3:24 	3:25 
A,TIME_SP,T,AC_NP_MAIN,FI	3:16 	3:11 
A,TIME_SP,T,AC_NP_MAIN,FR	3:37 	3:13 
A,TIME_SP,T,AC_NP_MAIN,HU	: 	3:46 
A,TIME_SP,T,AC_NP_MAIN,IT	3:38 	3:31 
A,TIME_SP,T,AC_NP_MAIN,LT	3:35 	: 
A,TIME_SP,T,AC_NP_MAIN,LU	: 	2:49 
A,TIME_SP,T,AC_NP_MAIN,LV	3:04 	: 
A,TIME_SP,T,AC_NP_MAIN,NL	: 	2:58 
A,TIME_SP,T,AC_NP_MAIN,NO	3:09 	3:14 
A,TIME_SP,T,AC_NP_MAIN,PL	3:43 	3:39 
A,TIME_SP,T,AC_NP_MAIN,RO	: 	3:40 
A,TIME_SP,T,AC_NP_MAIN,RS	: 	3:37 
A,TIME_SP,T,AC_NP_MAIN,SI	3:52 	: 
A,TIME_SP,T,AC_NP_MAIN,TR	: 	3:03 
A,TIME_SP,T,AC_NP_MAIN,UK	3:20 	3:01 
A,TIME_SP,T,AC_NP_SEC,AT	: 	0:25 
A,TIME_SP,T,AC_NP_SEC,BE	0:12 	0:22 
A,TIME_SP,T,AC_NP_SEC,BG	0:15 	: 
A,TIME_SP,T,AC_NP_SEC,DE	0:21 	0:31 
A,TIME_SP,T,AC_NP_SEC,EE	0:24 	0:24 
A,TIME_SP,T,AC_NP_SEC,EL	: 	0:19 
A,TIME_SP,T,AC_NP_SEC,ES	: 	0:15 
A,TIME_SP,T,AC_NP_SEC,FI	0:18 	0:28 
A,TIME_SP,T,AC_NP_SEC,FR	0:05 	0:13 
A,TIME_SP,T,AC_NP_SEC,HU	: 	0:29 
A,TIME_SP,T,AC_NP_SEC,IT	0:11 	0:17 
A,TIME_SP,T,AC_NP_SEC,LT	0:11 	: 
A,TIME_SP,T,AC_NP_SEC,LU	: 	0:10 
A,TIME_SP,T,AC_NP_SEC,LV	0:13 	: 
A,TIME_SP,T,AC_NP_SEC,NL	: 	0:25 
A,TIME_SP,T,AC_NP_SEC,NO	0:13 	0:14 
A,TIME_SP,T,AC_NP_SEC,PL	0:09 	0:13 
A,TIME_SP,T,AC_NP_SEC,RO	: 	0:07 
A,TIME_SP,T,AC_NP_SEC,RS	: 	0:24 
A,TIME_SP,T,AC_NP_SEC,SI	0:13 	: 
A,TIME_SP,T,AC_NP_SEC,TR	: 	0:00 
A,TIME_SP,T,AC_NP_SEC,UK	0:26 	0:31 
