freq,sex,age,acl18,unit,geo\TIME_PERIOD	2020 
A,F,Y10-14,AC121,PTP_RT,BG	0 
A,F,Y10-14,AC121,PTP_RT,DE	0 
A,F,Y10-14,AC121,PTP_RT,EE	0 
A,F,Y10-14,AC121,PTP_RT,FI	0 
A,F,Y10-14,AC121,PTP_RT,NO	0.64 
A,F,Y10-14,AC121,PTP_TIME,AT	: u
A,F,Y10-14,AC121,PTP_TIME,BG	: u
A,F,Y10-14,AC121,PTP_TIME,DE	: u
A,F,Y10-14,AC121,PTP_TIME,EE	: u
A,F,Y10-14,AC121,PTP_TIME,FI	: u
A,F,Y10-14,AC121,PTP_TIME,NO	: u
A,F,Y10-14,AC121,TIME_SP,AT	0:00 
A,F,Y10-14,AC121,TIME_SP,BG	0:00 
A,F,Y10-14,AC121,TIME_SP,DE	0:00 
A,F,Y10-14,AC121,TIME_SP,EE	0:00 
A,F,Y10-14,AC121,TIME_SP,FI	0:00 
A,F,Y10-14,AC121,TIME_SP,NO	0:02 
A,F,Y10-14,AC38,PTP_RT,AT	0.14 
A,F,Y10-14,AC38,PTP_RT,BG	0 
A,F,Y10-14,AC38,PTP_RT,DE	0.40 
A,F,Y10-14,AC38,PTP_RT,EE	0 
A,F,Y10-14,AC38,PTP_RT,FI	0 
A,F,Y10-14,AC38,PTP_RT,NO	1.61 
A,F,Y10-14,AC38,PTP_TIME,AT	: u
A,F,Y10-14,AC38,PTP_TIME,BG	: u
A,F,Y10-14,AC38,PTP_TIME,DE	: u
A,F,Y10-14,AC38,PTP_TIME,EE	: u
A,F,Y10-14,AC38,PTP_TIME,FI	: u
A,F,Y10-14,AC38,PTP_TIME,NO	: u
A,F,Y10-14,AC38,TIME_SP,AT	0:00 
A,F,Y10-14,AC38,TIME_SP,BG	0:00 
A,F,Y10-14,AC38,TIME_SP,DE	0:00 
A,F,Y10-14,AC38,TIME_SP,EE	0:00 
A,F,Y10-14,AC38,TIME_SP,FI	0:00 
A,F,Y10-14,AC38,TIME_SP,NO	0:02 
A,F,Y10-14,AC3_713_X_38,PTP_RT,AT	11.14 
A,F,Y10-14,AC3_713_X_38,PTP_RT,BG	1.45 
A,F,Y10-14,AC3_713_X_38,PTP_RT,DE	9.58 
A,F,Y10-14,AC3_713_X_38,PTP_RT,EE	8.16 
A,F,Y10-14,AC3_713_X_38,PTP_RT,FI	7.65 
A,F,Y10-14,AC3_713_X_38,PTP_RT,NO	13.10 
A,F,Y10-14,AC3_713_X_38,PTP_TIME,AT	0:43 u
A,F,Y10-14,AC3_713_X_38,PTP_TIME,BG	: u
A,F,Y10-14,AC3_713_X_38,PTP_TIME,DE	0:38 
A,F,Y10-14,AC3_713_X_38,PTP_TIME,EE	: u
A,F,Y10-14,AC3_713_X_38,PTP_TIME,FI	: u
A,F,Y10-14,AC3_713_X_38,PTP_TIME,NO	1:08 u
A,F,Y10-14,AC3_713_X_38,TIME_SP,AT	0:05 
A,F,Y10-14,AC3_713_X_38,TIME_SP,BG	0:01 
A,F,Y10-14,AC3_713_X_38,TIME_SP,DE	0:04 
A,F,Y10-14,AC3_713_X_38,TIME_SP,EE	0:02 
A,F,Y10-14,AC3_713_X_38,TIME_SP,FI	0:03 
A,F,Y10-14,AC3_713_X_38,TIME_SP,NO	0:09 
A,F,Y10-14,AC511,PTP_RT,AT	19.97 
A,F,Y10-14,AC511,PTP_RT,BG	67.75 
A,F,Y10-14,AC511,PTP_RT,DE	38.38 
A,F,Y10-14,AC511,PTP_RT,EE	28.27 
A,F,Y10-14,AC511,PTP_RT,FI	15.55 
A,F,Y10-14,AC511,PTP_RT,NO	2.24 
A,F,Y10-14,AC511,PTP_TIME,AT	1:10 
A,F,Y10-14,AC511,PTP_TIME,BG	1:31 
A,F,Y10-14,AC511,PTP_TIME,DE	1:55 
A,F,Y10-14,AC511,PTP_TIME,EE	1:35 
A,F,Y10-14,AC511,PTP_TIME,FI	0:59 u
A,F,Y10-14,AC511,PTP_TIME,NO	: u
A,F,Y10-14,AC511,TIME_SP,AT	0:14 
A,F,Y10-14,AC511,TIME_SP,BG	1:01 
A,F,Y10-14,AC511,TIME_SP,DE	0:44 
A,F,Y10-14,AC511,TIME_SP,EE	0:27 
A,F,Y10-14,AC511,TIME_SP,FI	0:09 
A,F,Y10-14,AC511,TIME_SP,NO	0:02 
A,F,Y10-14,AC512_513_519,PTP_RT,AT	26.39 
A,F,Y10-14,AC512_513_519,PTP_RT,BG	34.57 
A,F,Y10-14,AC512_513_519,PTP_RT,DE	36.68 
A,F,Y10-14,AC512_513_519,PTP_RT,EE	23.12 
A,F,Y10-14,AC512_513_519,PTP_RT,FI	18.01 
A,F,Y10-14,AC512_513_519,PTP_RT,NO	25.01 
A,F,Y10-14,AC512_513_519,PTP_TIME,AT	2:03 
A,F,Y10-14,AC512_513_519,PTP_TIME,BG	1:28 
A,F,Y10-14,AC512_513_519,PTP_TIME,DE	2:06 
A,F,Y10-14,AC512_513_519,PTP_TIME,EE	2:19 u
A,F,Y10-14,AC512_513_519,PTP_TIME,FI	1:20 u
A,F,Y10-14,AC512_513_519,PTP_TIME,NO	2:01 
A,F,Y10-14,AC512_513_519,TIME_SP,AT	0:32 
A,F,Y10-14,AC512_513_519,TIME_SP,BG	0:31 
A,F,Y10-14,AC512_513_519,TIME_SP,DE	0:46 
A,F,Y10-14,AC512_513_519,TIME_SP,EE	0:32 
A,F,Y10-14,AC512_513_519,TIME_SP,FI	0:14 
A,F,Y10-14,AC512_513_519,TIME_SP,NO	0:30 
A,F,Y10-14,AC514-516,PTP_RT,AT	21.89 
A,F,Y10-14,AC514-516,PTP_RT,BG	7.34 
A,F,Y10-14,AC514-516,PTP_RT,DE	18.43 
A,F,Y10-14,AC514-516,PTP_RT,EE	18.49 
A,F,Y10-14,AC514-516,PTP_RT,FI	16.13 
A,F,Y10-14,AC514-516,PTP_RT,NO	44.22 
A,F,Y10-14,AC514-516,PTP_TIME,AT	1:41 
A,F,Y10-14,AC514-516,PTP_TIME,BG	: u
A,F,Y10-14,AC514-516,PTP_TIME,DE	1:40 
A,F,Y10-14,AC514-516,PTP_TIME,EE	1:11 u
A,F,Y10-14,AC514-516,PTP_TIME,FI	1:22 u
A,F,Y10-14,AC514-516,PTP_TIME,NO	2:05 
A,F,Y10-14,AC514-516,TIME_SP,AT	0:22 
A,F,Y10-14,AC514-516,TIME_SP,BG	0:04 
