freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,M,Y15-24,TIME_SP,FI	3:23 
A,M,Y15-24,TIME_SP,NO	3:49 
A,M,Y15-24,TIME_SP,RS	3:05 
A,M,Y15-29,PTP_RT,AT	75.40 
A,M,Y15-29,PTP_RT,BG	92.24 
A,M,Y15-29,PTP_RT,DE	84.85 
A,M,Y15-29,PTP_RT,EE	79.15 
A,M,Y15-29,PTP_RT,FI	86.42 
A,M,Y15-29,PTP_RT,NO	75.73 
A,M,Y15-29,PTP_RT,RS	92.17 
A,M,Y15-29,PTP_TIME,AT	4:27 
A,M,Y15-29,PTP_TIME,BG	3:21 
A,M,Y15-29,PTP_TIME,DE	4:47 
A,M,Y15-29,PTP_TIME,EE	4:00 
A,M,Y15-29,PTP_TIME,FI	4:11 
A,M,Y15-29,PTP_TIME,NO	4:51 
A,M,Y15-29,PTP_TIME,RS	3:25 
A,M,Y15-29,TIME_SP,AT	3:21 
A,M,Y15-29,TIME_SP,BG	3:06 
A,M,Y15-29,TIME_SP,DE	4:03 
A,M,Y15-29,TIME_SP,EE	3:10 
A,M,Y15-29,TIME_SP,FI	3:37 
A,M,Y15-29,TIME_SP,NO	3:40 
A,M,Y15-29,TIME_SP,RS	3:09 
A,M,Y15-64,PTP_RT,AT	78.57 
A,M,Y15-64,PTP_RT,BG	94.03 
A,M,Y15-64,PTP_RT,DE	87.21 
A,M,Y15-64,PTP_RT,EE	81.54 
A,M,Y15-64,PTP_RT,FI	87.68 
A,M,Y15-64,PTP_RT,NO	75.13 
A,M,Y15-64,PTP_RT,RS	91.17 
A,M,Y15-64,PTP_TIME,AT	4:11 
A,M,Y15-64,PTP_TIME,BG	3:09 
A,M,Y15-64,PTP_TIME,DE	4:41 
A,M,Y15-64,PTP_TIME,EE	3:26 
A,M,Y15-64,PTP_TIME,FI	3:47 
A,M,Y15-64,PTP_TIME,NO	4:39 
A,M,Y15-64,PTP_TIME,RS	3:17 
A,M,Y15-64,TIME_SP,AT	3:17 
A,M,Y15-64,TIME_SP,BG	2:58 
A,M,Y15-64,TIME_SP,DE	4:05 
A,M,Y15-64,TIME_SP,EE	2:48 
A,M,Y15-64,TIME_SP,FI	3:19 
A,M,Y15-64,TIME_SP,NO	3:30 
A,M,Y15-64,TIME_SP,RS	3:00 
A,M,Y25-34,PTP_RT,AT	78.30 
A,M,Y25-34,PTP_RT,BG	94.53 
A,M,Y25-34,PTP_RT,DE	87.24 
A,M,Y25-34,PTP_RT,EE	86.36 
A,M,Y25-34,PTP_RT,FI	89.63 
A,M,Y25-34,PTP_RT,NO	73.74 
A,M,Y25-34,PTP_RT,RS	94.88 
A,M,Y25-34,PTP_TIME,AT	4:33 
A,M,Y25-34,PTP_TIME,BG	3:19 
A,M,Y25-34,PTP_TIME,DE	4:53 
A,M,Y25-34,PTP_TIME,EE	3:20 
A,M,Y25-34,PTP_TIME,FI	4:06 
A,M,Y25-34,PTP_TIME,NO	4:33 
A,M,Y25-34,PTP_TIME,RS	3:12 
A,M,Y25-34,TIME_SP,AT	3:34 
A,M,Y25-34,TIME_SP,BG	3:08 
A,M,Y25-34,TIME_SP,DE	4:15 
A,M,Y25-34,TIME_SP,EE	2:53 
A,M,Y25-34,TIME_SP,FI	3:41 
A,M,Y25-34,TIME_SP,NO	3:21 
A,M,Y25-34,TIME_SP,RS	3:02 
A,M,Y30-44,PTP_RT,AT	79.77 
A,M,Y30-44,PTP_RT,BG	93.75 
A,M,Y30-44,PTP_RT,DE	87.85 
A,M,Y30-44,PTP_RT,EE	85.57 
A,M,Y30-44,PTP_RT,FI	89.89 
A,M,Y30-44,PTP_RT,NO	75.86 
A,M,Y30-44,PTP_RT,RS	92.81 
A,M,Y30-44,PTP_TIME,AT	4:13 
A,M,Y30-44,PTP_TIME,BG	3:10 
A,M,Y30-44,PTP_TIME,DE	4:48 
A,M,Y30-44,PTP_TIME,EE	3:16 
A,M,Y30-44,PTP_TIME,FI	3:44 
A,M,Y30-44,PTP_TIME,NO	4:28 
A,M,Y30-44,PTP_TIME,RS	3:20 
A,M,Y30-44,TIME_SP,AT	3:22 
A,M,Y30-44,TIME_SP,BG	2:58 
A,M,Y30-44,TIME_SP,DE	4:13 
A,M,Y30-44,TIME_SP,EE	2:47 
A,M,Y30-44,TIME_SP,FI	3:21 
A,M,Y30-44,TIME_SP,NO	3:23 
A,M,Y30-44,TIME_SP,RS	3:06 
A,M,Y30-64,PTP_RT,AT	79.65 
A,M,Y30-64,PTP_RT,BG	94.51 
A,M,Y30-64,PTP_RT,DE	87.96 
A,M,Y30-64,PTP_RT,EE	82.34 
A,M,Y30-64,PTP_RT,FI	88.20 
A,M,Y30-64,PTP_RT,NO	74.90 
A,M,Y30-64,PTP_RT,RS	90.83 
A,M,Y30-64,PTP_TIME,AT	4:05 
A,M,Y30-64,PTP_TIME,BG	3:06 
A,M,Y30-64,PTP_TIME,DE	4:39 
A,M,Y30-64,PTP_TIME,EE	3:16 
A,M,Y30-64,PTP_TIME,FI	3:37 
A,M,Y30-64,PTP_TIME,NO	4:34 
A,M,Y30-64,PTP_TIME,RS	3:14 
A,M,Y30-64,TIME_SP,AT	3:15 
A,M,Y30-64,TIME_SP,BG	2:55 
A,M,Y30-64,TIME_SP,DE	4:06 
A,M,Y30-64,TIME_SP,EE	2:41 
A,M,Y30-64,TIME_SP,FI	3:11 
