A,F,H0050-0059,AC1_2,PTP_RT,EE	0.90 
A,F,H0050-0059,AC1_2,PTP_RT,FI	0.51 
A,F,H0050-0059,AC1_2,PTP_RT,NO	1.15 
A,F,H0050-0059,AC1_2,PTP_RT,RS	0.42 
A,F,H0050-0059,AC3_713_936-980,PTP_RT,AT	0.32 
A,F,H0050-0059,AC3_713_936-980,PTP_RT,BG	0.14 
A,F,H0050-0059,AC3_713_936-980,PTP_RT,DE	0.67 
A,F,H0050-0059,AC3_713_936-980,PTP_RT,EE	0.66 
A,F,H0050-0059,AC3_713_936-980,PTP_RT,FI	0.64 
A,F,H0050-0059,AC3_713_936-980,PTP_RT,NO	1.06 
A,F,H0050-0059,AC3_713_936-980,PTP_RT,RS	0.52 
A,F,H0050-0059,AC4-8_998_X_713_821,PTP_RT,AT	2.43 
A,F,H0050-0059,AC4-8_998_X_713_821,PTP_RT,BG	0.84 
A,F,H0050-0059,AC4-8_998_X_713_821,PTP_RT,DE	2.71 
A,F,H0050-0059,AC4-8_998_X_713_821,PTP_RT,EE	1.71 
A,F,H0050-0059,AC4-8_998_X_713_821,PTP_RT,FI	3.03 
A,F,H0050-0059,AC4-8_998_X_713_821,PTP_RT,NO	5.45 
A,F,H0050-0059,AC4-8_998_X_713_821,PTP_RT,RS	1.09 
A,F,H0050-0059,AC821,PTP_RT,AT	1.19 
A,F,H0050-0059,AC821,PTP_RT,BG	0.53 
A,F,H0050-0059,AC821,PTP_RT,DE	1.40 
A,F,H0050-0059,AC821,PTP_RT,EE	1.36 
A,F,H0050-0059,AC821,PTP_RT,FI	1.99 
A,F,H0050-0059,AC821,PTP_RT,NO	3.04 
A,F,H0050-0059,AC821,PTP_RT,RS	1.43 
A,F,H0050-0059,AC910_920,PTP_RT,AT	0.01 
A,F,H0050-0059,AC910_920,PTP_RT,BG	0.03 
A,F,H0050-0059,AC910_920,PTP_RT,DE	0.04 
A,F,H0050-0059,AC910_920,PTP_RT,EE	0.02 
A,F,H0050-0059,AC910_920,PTP_RT,FI	0.00 
A,F,H0050-0059,AC910_920,PTP_RT,NO	0.21 
A,F,H0050-0059,AC910_920,PTP_RT,RS	0.00 
A,F,H0050-0059,AC995-999,PTP_RT,AT	0.03 
A,F,H0050-0059,AC995-999,PTP_RT,BG	0.06 
A,F,H0050-0059,AC995-999,PTP_RT,DE	0.08 
A,F,H0050-0059,AC995-999,PTP_RT,EE	0.76 
A,F,H0050-0059,AC995-999,PTP_RT,FI	2.24 
A,F,H0050-0059,AC995-999,PTP_RT,NO	0.11 
A,F,H0050-0059,AC995-999,PTP_RT,RS	0.00 
A,F,H0050-0059,TOTAL,PTP_RT,AT	100.0 
A,F,H0050-0059,TOTAL,PTP_RT,BG	100.0 
A,F,H0050-0059,TOTAL,PTP_RT,DE	100.0 
A,F,H0050-0059,TOTAL,PTP_RT,EE	100.0 
